lon;lat;Village;Power_installed
38.5424857;-13.192641;Aldeia Mpaka;12
38.542048;-13.1926162;Aldeia Mpaka;4
38.5416155;-13.1925917;Aldeia Mpaka;5
38.5424058;-13.1925817;Aldeia Mpaka;5
38.5457704;-13.1925695;Aldeia Mpaka;31
38.5415827;-13.192525;Aldeia Mpaka;40
38.5425565;-13.1925126;Aldeia Mpaka;119.6
38.5419064;-13.1924767;Aldeia Mpaka;9
38.5464347;-13.1924643;Aldeia Mpaka;4
38.5460662;-13.1924641;Aldeia Mpaka;119.6
38.5423262;-13.1924221;Aldeia Mpaka;4
38.5456492;-13.1923975;Aldeia Mpaka;31
38.5465219;-13.1923492;Aldeia Mpaka;31
38.54342;-13.1922959;Aldeia Mpaka;119.6
38.5425713;-13.1922865;Aldeia Mpaka;5
38.5450987;-13.192285;Aldeia Mpaka;5
38.5430526;-13.192283;Aldeia Mpaka;119.6
38.5464852;-13.1922192;Aldeia Mpaka;31
38.546047;-13.192207;Aldeia Mpaka;5
38.5450833;-13.1921667;Aldeia Mpaka;5
38.5466945;-13.1921333;Aldeia Mpaka;119.6
38.545388;-13.1921087;Aldeia Mpaka;5
38.5423404;-13.1920908;Aldeia Mpaka;5
38.5388983;-13.1920219;Aldeia Mpaka;5
38.5460728;-13.1919476;Aldeia Mpaka;5
38.5389592;-13.1918979;Aldeia Mpaka;4
38.5391972;-13.1918845;Aldeia Mpaka;10
38.5430014;-13.191869;Aldeia Chipembe;10
38.539186;-13.1918497;Aldeia Mpaka;5
38.5455112;-13.1918466;Aldeia Mpaka;31
38.5456007;-13.1918111;Aldeia Mpaka;15
38.5390828;-13.191795;Aldeia Mpaka;12
38.5455261;-13.1915681;Aldeia Mpaka;525.6
38.5451392;-13.1915496;Aldeia Mpaka;4
38.5450817;-13.1914247;Aldeia Mpaka;31
38.5451438;-13.1913127;Aldeia Mpaka;5
38.5451708;-13.191258;Aldeia Mpaka;10
38.5440593;-13.1912054;Aldeia Mpaka;4
38.5444365;-13.1911999;Aldeia Mpaka;5
38.5450863;-13.1910932;Aldeia Mpaka;5
38.5413775;-13.19109;Aldeia Mpaka;4
38.5412774;-13.1910794;Aldeia Mpaka;100
38.5446615;-13.1910777;Aldeia Mpaka;119.6
38.5442616;-13.1910676;Aldeia Mpaka;31
38.5443545;-13.1909898;Aldeia Mpaka;31
38.5424897;-13.1909743;Aldeia Mpaka;12
38.5452988;-13.1909455;Aldeia Mpaka;119.6
38.544898;-13.1909233;Aldeia Mpaka;31
38.5433515;-13.1908443;Aldeia Mpaka;75.6
38.5429753;-13.1907947;Aldeia Mpaka;8
38.5446721;-13.1907648;Aldeia Mpaka;31
38.5424305;-13.1907336;Aldeia Mpaka;31
38.5427937;-13.1906844;Aldeia Mpaka;5
38.5444598;-13.1906542;Aldeia Mpaka;31
38.543305;-13.1906517;Aldeia Mpaka;10
38.5430635;-13.1906255;Aldeia Mpaka;4
38.5428294;-13.1905325;Aldeia Mpaka;75.6
38.5444852;-13.1905087;Aldeia Mpaka;31
38.5423005;-13.1904973;Aldeia Mpaka;17
38.5430005;-13.1904922;Aldeia Mpaka;119.6
38.5431763;-13.1904919;Aldeia Mpaka;31
38.5427898;-13.190418;Aldeia Mpaka;5
38.5454964;-13.1897829;Aldeia Mpaka;8
38.5457896;-13.1946604;Aldeia Mpaka;31
38.5461922;-13.194614;Aldeia Mpaka;31
38.5431373;-13.1945924;Aldeia Mpaka;119.6
38.5449158;-13.1945451;Aldeia Mpaka;4
38.5404384;-13.1945303;Aldeia Mpaka;119.6
38.5461796;-13.1945188;Aldeia Mpaka;119.6
38.5420736;-13.1944938;Aldeia Mpaka;9
38.5424405;-13.1944741;Aldeia Mpaka;33
38.5417788;-13.19441;Aldeia Mpaka;29
38.541098;-13.1943643;Aldeia Mpaka;5
38.5462882;-13.1943222;Aldeia Mpaka;5
38.5421908;-13.194286;Aldeia Mpaka;119.6
38.5417796;-13.1942608;Aldeia Mpaka;119.6
38.5463953;-13.1942178;Aldeia Mpaka;70.6
38.5418432;-13.1942048;Aldeia Mpaka;15
38.5420988;-13.1941711;Aldeia Mpaka;305
38.5421475;-13.1941558;Aldeia Mpaka;5
38.5414404;-13.1941029;Aldeia Mpaka;12
38.5404251;-13.1940994;Aldeia Mpaka;305
38.5462783;-13.1940899;Aldeia Mpaka;5
38.5410873;-13.194061;Aldeia Mpaka;119.6
38.5425786;-13.194007;Aldeia Mpaka;330
38.5415162;-13.1939476;Aldeia Mpaka;4
38.5426381;-13.1938356;Aldeia Mpaka;31
38.5350951;-13.1937851;Aldeia Mavala Sede;31
38.5420219;-13.1937664;Aldeia Mpaka;31
38.5420237;-13.1937045;Aldeia Mpaka;64.5
38.5464401;-13.1936836;Aldeia Mpaka;4
38.5424115;-13.1936384;Aldeia Mpaka;5
38.5423476;-13.1936316;Aldeia Mpaka;21
38.5405673;-13.1936298;Aldeia Mpaka;31
38.5421863;-13.1936163;Aldeia Mpaka;310
38.5415178;-13.1935969;Aldeia Mpaka;12
38.5422271;-13.1935831;Aldeia Mpaka;5
38.5417022;-13.1935602;Aldeia Mpaka;61.6
38.5426913;-13.1935278;Aldeia Mpaka;350
38.5439717;-13.1934317;Aldeia Mararange;14
38.5456709;-13.1934145;Aldeia Mpaka;5
38.5440229;-13.1934052;Aldeia Mpaka;31
38.5396602;-13.1934018;Aldeia Mpaka;5
38.5416931;-13.1933947;Aldeia Mpaka;115
38.5441532;-13.1933922;Aldeia Mpaka;10
38.5424425;-13.1933845;Aldeia Mpaka;20
38.5400262;-13.1933687;Aldeia Mpaka;365.6
38.5414595;-13.1933512;Aldeia Mpaka;22
38.5393491;-13.1933376;Aldeia Mpaka;97.6
38.5410992;-13.1933246;Aldeia Mpaka;10
38.5459056;-13.1932996;Aldeia Mpaka;66.6
38.5422621;-13.193295;Aldeia Mpaka;29
38.5455379;-13.1932791;Aldeia Mpaka;31
38.5426897;-13.1932418;Aldeia Mpaka;34
38.540755;-13.1931402;Aldeia Mpaka;75.6
38.5441383;-13.1931083;Aldeia Mpaka;4
38.542996;-13.1930621;Aldeia Mpaka;4
38.5411215;-13.1930117;Aldeia Mpaka;31
38.5449792;-13.1929889;Aldeia Mpaka;9
38.5406282;-13.1929839;Aldeia Mpaka;143.6
38.5419602;-13.1929816;Aldeia Mpaka;36
38.5426111;-13.1929813;Aldeia Mpaka;14
38.5422853;-13.1929785;Aldeia Mpaka;31
38.540894;-13.1929433;Aldeia Mpaka;5
38.5415941;-13.1929412;Aldeia Mpaka;119.6
38.5415793;-13.1929345;Aldeia Mpaka;13
38.5412726;-13.1928792;Aldeia Mpaka;12
38.5461026;-13.1928346;Aldeia Mpaka;4
38.54497;-13.1928138;Aldeia Mpaka;5
38.5460145;-13.1927862;Aldeia Mpaka;9
38.5458695;-13.1926968;Aldeia Mpaka;31
38.5389101;-13.1926708;Aldeia Mpaka;12
38.5461655;-13.1926478;Aldeia Mpaka;31
38.5445954;-13.1990741;Aldeia Mpaka;5
38.545016;-13.1989483;Aldeia Mpaka;31
38.5446717;-13.1988832;Aldeia Mpaka;16
38.5453446;-13.1986415;Aldeia Mpaka;119.6
38.5446358;-13.1986327;Aldeia Mpaka;9
38.5451652;-13.1985402;Aldeia Mpaka;5
38.5453147;-13.1983658;Aldeia Mpaka;70.6
38.5447042;-13.1981739;Aldeia Mpaka;119.6
38.5452692;-13.1981716;Aldeia Mpaka;5
38.5451508;-13.1980883;Aldeia Mpaka;119.6
38.5446907;-13.1979534;Aldeia Mpaka;4
38.5451125;-13.1978514;Aldeia Mpaka;9
38.5411087;-13.1977584;Aldeia Mpaka;31
38.5454242;-13.1975929;Aldeia Mpaka;9
38.5450541;-13.1975919;Aldeia Mpaka;76.6
38.5418957;-13.1972613;Aldeia Mpaka;119.6
38.5422622;-13.1971967;Aldeia Mpaka;31
38.5442407;-13.1971956;Aldeia Mpaka;4
38.5413508;-13.197169;Aldeia Mpaka;119.6
38.5419362;-13.1971612;Aldeia Mpaka;4
38.544911;-13.1971088;Aldeia Mpaka;31
38.5419603;-13.196947;Aldeia Mpaka;10
38.5413776;-13.1969031;Aldeia Mpaka;71.6
38.5454946;-13.196898;Aldeia Mpaka;17
38.5419543;-13.196864;Aldeia Mpaka;119.6
38.5419929;-13.1967111;Aldeia Mpaka;5
38.5416107;-13.1966664;Aldeia Mpaka;31
38.5435706;-13.1966498;Aldeia Mpaka;119.6
38.5447248;-13.1964328;Aldeia Mpaka;4
38.5420121;-13.1963851;Aldeia Mpaka;4
38.54322;-13.1963696;Aldeia Mpaka;5
38.5435382;-13.1963178;Aldeia Mpaka;5
38.5423064;-13.1962687;Aldeia Mpaka;21
38.5429231;-13.1962518;Aldeia Mpaka;31
38.5418881;-13.1961768;Aldeia Mpaka;71.6
38.5409202;-13.1961632;Aldeia Mpaka;9
38.5405929;-13.1960827;Aldeia Mpaka;5
38.542092;-13.196034;Aldeia Mpaka;9
38.5412834;-13.1959438;Aldeia Mpaka;73.5
38.541979;-13.1958972;Aldeia Mpaka;10
38.5429132;-13.1958617;Aldeia Mpaka;4
38.5417738;-13.1957926;Aldeia Mpaka;4
38.5447447;-13.1957608;Aldeia Mpaka;31
38.5426303;-13.195743;Aldeia Mpaka;10
38.5423365;-13.1957333;Aldeia Mpaka;5
38.5420017;-13.1954805;Aldeia Mpaka;300
38.5401743;-13.195343;Aldeia Mpaka;5
38.5423973;-13.1953276;Aldeia Mpaka;119.6
38.5419826;-13.1952453;Aldeia Mpaka;5
38.5420965;-13.1951969;Aldeia Mpaka;5
38.5398471;-13.1951569;Aldeia Mpaka;31
38.5419481;-13.1950133;Aldeia Mpaka;5
38.5403509;-13.1950097;Aldeia Mpaka;119.6
38.5458481;-13.1949777;Aldeia Mpaka;31
38.5422087;-13.1949141;Aldeia Mpaka;4
38.546195;-13.1949017;Aldeia Mpaka;31
38.5421725;-13.1948983;Aldeia Mpaka;5
38.5400714;-13.19489;Aldeia Mpaka;119.6
38.5464016;-13.194884;Aldeia Mpaka;4
38.5396991;-13.1948808;Aldeia Mpaka;5
38.5403203;-13.1948786;Aldeia Mpaka;9
38.5422375;-13.1948747;Aldeia Mpaka;9
38.5423952;-13.1948701;Aldeia Mpaka;31
38.545472;-13.1948564;Aldeia Mpaka;31
38.5430505;-13.1948246;Aldeia Mpaka;119.6
38.540636;-13.1948117;Aldeia Mpaka;10
38.546012;-13.1947958;Aldeia Mpaka;31
38.5424259;-13.1947181;Aldeia Mpaka;75.6
38.5454858;-13.1946682;Aldeia Mpaka;5
